成交小区,成交价（万元）,成交楼层,单价每平（元）,朝向,成交时间
五三小区 2室1厅 66.37平米,57,高楼层(共6层) 板塔结合,8589,南|简装,2021.03.22
,,,,,
化建小区 3室2厅 105.96平米,68,高楼层(共7层) 板楼,6333,南|简装,2021.03.22
,,,,,
绿野幸福里 2室1厅 86.35平米,57,中楼层(共23层) 板楼,6509,南|毛坯,2021.03.22
,,,,,
和锦園 3室2厅 131.92平米,109,中楼层(共11层) 板楼,8263,南|毛坯,2021.03.22
,,,,,
汇成·凡尔赛 4室2厅 128平米,120,低楼层(共27层) 板楼,9370,南|毛坯,2021.03.22
,,,,,
天一尊邸 4室2厅 123.6平米,87,中楼层(共6层) 板楼,7039,南|精装,2021.03.22
,,,,,
友邦壹号公馆 4室2厅 139.8平米,130,低楼层(共32层) 板塔结合,9299,南|毛坯,2021.03.22
,,,,,
绿野春天 3室2厅 155平米,91,低楼层(共12层) 板楼,5864,南北|简装,2021.03.22
,,,,,
江南商茂中心 3室2厅 131平米,87,低楼层(共3层) 暂无数据,6642,南|精装,2021.03.22
,,,,,
文家居委会文家166号 3室2厅 121.7平米,51,高楼层(共6层) 板楼,4191,南|毛坯,2021.03.22
,,,,,
阳光四季 3室2厅 99.6平米,65,高楼层(共11层) 板楼,6486,南|毛坯,2021.03.22
,,,,,
美地印象 3室2厅 113.88平米,79,高楼层(共25层) 板塔结合,6938,东南|简装,2021.03.22
,,,,,
北星金桂园 3室2厅 115平米,100,低楼层(共6层) 塔楼,8679,南|精装,2021.03.22
,,,,,
建亨上东城 3室2厅 117平米,88,高楼层(共11层) 板楼,7522,南|毛坯,2021.03.22
,,,,,
永隆米兰春天 1室1厅 55平米,53,中楼层(共22层) 板楼,9619,南|简装,2021.03.22
,,,,,
融晖城 2室2厅 81.82平米,96,中楼层(共27层) 板楼,11734,南|精装,2021.03.21
,,,,,
公园道1号 2室2厅 90.57平米,92,中楼层(共16层) 塔楼,10158,南|精装,2021.03.21
,,,,,
钟亭小区 2室1厅 63.46平米,56,高楼层(共7层) 板楼,8825,南北|简装,2021.03.21
,,,,,
供电局宿舍 2室2厅 65平米,65,中楼层(共6层) 板楼,10000,东南|简装,2021.03.21
,,,,,
嘉怡华府 3室2厅 131.57平米,110,中楼层(共14层) 板塔结合,8361,南|毛坯,2021.03.21
,,,,,
中航城·波西塔诺 4室2厅 138.7平米,123,低楼层(共6层) 板楼,8869,东|毛坯,2021.03.21
,,,,,
中央公园二期 3室2厅 131.67平米,112,中楼层(共15层) 板楼,8453,东南|简装,2021.03.20
,,,,,
江光小区 2室1厅 52.15平米,38,中楼层(共5层) 板楼,7191,南|简装,2021.03.20
,,,,,
现代城 4室2厅 156平米,111,中楼层(共6层) 板塔结合,7116,东南|简装,2021.03.20
,,,,,
卡布基诺 1室1厅 52.26平米,35,中楼层(共18层) 塔楼,6602,东|毛坯,2021.03.20
,,,,,
东升路6号 3室2厅 83.6平米,55,中楼层(共5层) 暂无数据,6579,南|简装,2021.03.20
,,,,,
樱花半岛 3室2厅 99.8平米,98,中楼层(共18层) 板楼,9820,南|精装,2021.03.20
,,,,,
上饶丽城 2室2厅 89平米,95,低楼层(共11层) 板楼,10618,南北|精装,2021.03.20
,,,,,
公园道1号 4室2厅 146平米,155,中楼层(共18层) 板楼,10617,南|精装,2021.03.20
,,,,,
华日花园 3室2厅 108.2平米,79,中楼层(共7层) 暂无数据,7270,东南南|简装,2021.03.20
,,,,,
博园湾 3室2厅 125平米,68,高楼层(共11层) 暂无数据,5440,南|毛坯,2021.03.19
,,,,,
铁路新村 2室1厅 51.52平米,51,高楼层(共6层) 暂无数据,9861,南|简装,2021.03.19
,,,,,
恒大名都 4室2厅 139.35平米,168,高楼层(共31层) 暂无数据,12056,东南南|精装,2021.03.19
,,,,,
牛奶场小区 2室1厅 75.6平米,63,高楼层(共6层) 暂无数据,8334,南|简装,2021.03.19
,,,,,
茶山花苑A区 2室1厅 66.21平米,58,中楼层(共7层) 板楼,8761,北|精装,2021.03.19
,,,,,
信美路 7室2厅 417平米,290,低楼层(共5层) 暂无数据,6955,南|精装,2021.03.18
,,,,,
伯爵山 5室3厅 298平米,348,低楼层(共3层) 板楼,11678,南|精装,2021.03.18
,,,,,
铁路新村3路 3室2厅 52.01平米,53,低楼层(共4层) 暂无数据,10191,南|简装,2021.03.18
,,,,,
龙华凤凰城 2室2厅 86.96平米,112,中楼层(共17层) 板楼,12880,东南|简装,2021.03.17
,,,,,
远泉绿城 3室2厅 117平米,81,低楼层(共9层) 暂无数据,6906,南|精装,2021.03.17
,,,,,
芳满庭 3室2厅 125平米,45,低楼层(共4层) 暂无数据,3600,南北|毛坯,2021.03.17
,,,,,
芳满庭 3室2厅 138.52平米,50,中楼层(共4层) 暂无数据,3610,东南北|毛坯,2021.03.17
,,,,,
福利巷2号 2室1厅 74.26平米,57,中楼层(共7层) 板楼,7676,南|其他,2021.03.17
,,,,,
丰溪北区 2室2厅 113平米,61,中楼层(共7层) 暂无数据,5399,南|简装,2021.03.17
,,,,,
樱花半岛 3室2厅 98.06平米,84,低楼层(共18层) 板楼,8546,南|毛坯,2021.03.17
,,,,,
九州奥城 3室2厅 125.94平米,89,高楼层(共7层) 板楼,7067,南北|毛坯,2021.03.16
,,,,,
万嘉国际花园 4室2厅 87平米,101,高楼层(共12层) 塔楼,11564,南北|简装,2021.03.16
,,,,,
建亨上东城 3室1厅 87.5平米,83,高楼层(共24层) 板楼,9486,南北|精装,2021.03.16
,,,,,
凯旋如意城 2室1厅 48.23平米,51,高楼层(共17层) 板楼,10533,南|精装,2021.03.16
,,,,,
绿野幸福里 3室2厅 114平米,74,高楼层(共23层) 板楼,6492,东南南|毛坯,2021.03.16
,,,,,
庆丰路276号 2室1厅 58.44平米,45,高楼层(共6层) 暂无数据,7701,南|简装,2021.03.16
,,,,,
清波苑 3室2厅 117.99平米,86,中楼层(共7层) 板楼,7289,南|简装,2021.03.16
,,,,,
月泉花城 3室2厅 102平米,86,低楼层(共6层) 塔楼,8432,南|简装,2021.03.16
,,,,,
中航城·波西塔诺 3室2厅 121.2平米,96,高楼层(共6层) 板楼,7905,南北|毛坯,2021.03.16
,,,,,
茶山花苑B区 3室2厅 129.64平米,110,中楼层(共7层) 板楼,8486,南北|精装,2021.03.15
,,,,,
万达晶座 1室1厅 44.85平米,35,低楼层(共29层) 塔楼,7804,东|精装,2021.03.15
,,,,,
龙芽亭14号 3室2厅 56.5平米,37,低楼层(共5层) 板楼,6461,南|简装,2021.03.15
,,,,,
上海公馆 1室0厅 45.35平米,29,中楼层(共20层) 塔楼,6241,南|精装,2021.03.15
,,,,,
中富花园 2室1厅 86.17平米,98,中楼层(共6层) 板楼,11315,南|精装,2021.03.15
,,,,,
中梁翼天首府 4室2厅 128.93平米,109,低楼层(共6层) 暂无数据,8455,南|毛坯,2021.03.15
,,,,,
友邦玫瑰公馆 4室2厅 132.9平米,99,高楼层(共33层) 板楼,7450,南|毛坯,2021.03.15
,,,,,
美地印象 2室2厅 81平米,55,高楼层(共6层) 板塔结合,6791,南|精装,2021.03.15
,,,,,
博能信江府 4室2厅 138.69平米,99,高楼层(共32层) 暂无数据,7103,南北|毛坯,2021.03.14
,,,,,
友邦壹号公馆 3室2厅 102.4平米,108,高楼层(共32层) 板塔结合,10459,南|毛坯,2021.03.14
,,,,,
国贸宿舍 2室1厅 61.93平米,42,中楼层(共7层) 平房,6782,南|简装,2021.03.14
,,,,,
